ID;PRC;DT_ENTD_PRC;RESULTADO
1047;D;12/08/2020;309
1048;E;12/08/2020;390
1049;F;12/08/2020;267
1050;G;12/08/2020;1080
1051;H;12/08/2020;412
1052;I;12/08/2020;421
1053;J;12/08/2020;1877
1054;K;12/08/2020;1015
1055;M;12/08/2020;479
1056;N;12/08/2020;431
1057;O;12/08/2020;512
1058;A;13/08/2020;856
1059;B;13/08/2020;424
1060;C;13/08/2020;636
1061;D;13/08/2020;284
1062;E;13/08/2020;353
1063;F;13/08/2020;313
1064;G;13/08/2020;1035
1065;H;13/08/2020;382
1066;I;13/08/2020;435
1067;J;13/08/2020;1603
1068;K;13/08/2020;1068
1069;M;13/08/2020;539
1070;N;13/08/2020;350
1071;O;13/08/2020;467
1072;A;14/08/2020;894
1073;B;14/08/2020;563
1074;C;14/08/2020;741
1075;D;14/08/2020;347
1076;E;14/08/2020;333
1077;F;14/08/2020;443
1078;G;14/08/2020;889
1079;H;14/08/2020;354
1080;I;14/08/2020;479
1081;J;14/08/2020;1900
1082;K;14/08/2020;1095
1083;L;14/08/2020;1142
1084;M;14/08/2020;483
1085;N;14/08/2020;354
1086;O;14/08/2020;476
1087;A;17/08/2020;1160
1088;B;17/08/2020;472
1089;C;17/08/2020;741
1090;D;17/08/2020;148
1091;E;17/08/2020;332
1092;F;17/08/2020;433
1093;G;17/08/2020;834
1094;H;17/08/2020;339
1095;I;17/08/2020;414
1096;J;17/08/2020;1991
1097;K;17/08/2020;954
1098;L;17/08/2020;12
1099;M;17/08/2020;593
1100;N;17/08/2020;296
1101;O;17/08/2020;738
1102;A;18/08/2020;1052
1103;B;18/08/2020;502
1104;C;18/08/2020;645
1105;D;18/08/2020;375
1106;E;18/08/2020;369
1107;F;18/08/2020;303
1108;G;18/08/2020;891
1109;H;18/08/2020;342
1110;I;18/08/2020;312
1111;J;18/08/2020;1722
1112;K;18/08/2020;1290
1113;L;18/08/2020;113
1114;M;18/08/2020;460
1115;N;18/08/2020;286
1116;O;18/08/2020;438
1117;A;19/08/2020;1542
1118;B;19/08/2020;720
1119;C;19/08/2020;552
1120;D;19/08/2020;289
1121;E;19/08/2020;357
1122;F;19/08/2020;321
1123;G;19/08/2020;888
1124;H;19/08/2020;383
1125;I;19/08/2020;279
1126;J;19/08/2020;1469
1127;K;19/08/2020;963
1128;L;19/08/2020;215
1129;M;19/08/2020;523
1130;N;19/08/2020;291
1131;O;19/08/2020;436
1132;A;20/08/2020;1080
1133;B;20/08/2020;550
1134;C;20/08/2020;430
1135;D;20/08/2020;291
1136;E;20/08/2020;351
1137;F;20/08/2020;23
1138;G;20/08/2020;895
1139;H;20/08/2020;366
1140;I;20/08/2020;350
1141;J;20/08/2020;832
1142;K;20/08/2020;1680
1143;M;20/08/2020;522
1144;N;20/08/2020;295
1145;O;20/08/2020;419
1146;A;21/08/2020;931
1147;B;21/08/2020;473
1148;C;21/08/2020;463
1149;D;21/08/2020;247
1150;E;21/08/2020;321
1151;F;21/08/2020;5
1152;G;21/08/2020;807
1153;H;21/08/2020;336
1154;I;21/08/2020;407
1155;J;21/08/2020;1507
1156;K;21/08/2020;1015
1157;L;21/08/2020;1
1158;M;21/08/2020;505
1159;N;21/08/2020;295
1160;O;21/08/2020;385
1161;A;24/08/2020;1082
1162;B;24/08/2020;538
1163;C;24/08/2020;361
1164;D;24/08/2020;317
1165;E;24/08/2020;339
1166;F;24/08/2020;778
1167;G;24/08/2020;754
1168;H;24/08/2020;315
1169;I;24/08/2020;395
1170;J;24/08/2020;1349
1171;K;24/08/2020;1018
1172;L;24/08/2020;123
1173;M;24/08/2020;621
1174;N;24/08/2020;246
1175;O;24/08/2020;431
1176;A;25/08/2020;1033
1177;B;25/08/2020;497
1178;C;25/08/2020;659
1179;D;25/08/2020;342
1180;E;25/08/2020;407
1181;F;25/08/2020;241
1182;G;25/08/2020;966
1183;H;25/08/2020;420
1184;I;25/08/2020;439
1185;J;25/08/2020;1305
1186;K;25/08/2020;1034
1187;L;25/08/2020;91
1188;M;25/08/2020;784
1189;N;25/08/2020;322
1190;O;25/08/2020;504
1191;A;26/08/2020;1379
1192;B;26/08/2020;687
1193;C;26/08/2020;621
1194;D;26/08/2020;262
1195;E;26/08/2020;443
1196;F;26/08/2020;263
1197;G;26/08/2020;821
1198;H;26/08/2020;337
1199;I;26/08/2020;338
1200;J;26/08/2020;1476
1201;K;26/08/2020;924
1202;L;26/08/2020;6
1203;M;26/08/2020;376
1204;N;26/08/2020;245
1205;O;26/08/2020;311
1206;A;27/08/2020;954
1207;B;27/08/2020;553
1208;C;27/08/2020;573
1209;D;27/08/2020;263
1210;E;27/08/2020;389
1211;F;27/08/2020;341
1212;G;27/08/2020;864
1213;H;27/08/2020;370
1214;I;27/08/2020;385
1215;J;27/08/2020;1338
1216;K;27/08/2020;1109
1217;L;27/08/2020;11
1218;M;27/08/2020;493
1219;N;27/08/2020;294
1220;O;27/08/2020;232
1221;A;28/08/2020;868
1222;B;28/08/2020;474
1223;C;28/08/2020;475
1224;D;28/08/2020;242
1225;E;28/08/2020;390
1226;F;28/08/2020;231
1227;G;28/08/2020;752
1228;H;28/08/2020;310
1229;I;28/08/2020;397
1230;J;28/08/2020;1478
1231;K;28/08/2020;927
1232;M;28/08/2020;453
1233;N;28/08/2020;247
1234;O;28/08/2020;240
1235;A;31/08/2020;645
1236;B;31/08/2020;361
1237;C;31/08/2020;466
1238;D;31/08/2020;298
1239;E;31/08/2020;368
1240;F;31/08/2020;318
1241;G;31/08/2020;718
1242;H;31/08/2020;284
1243;I;31/08/2020;329
1244;J;31/08/2020;1128
1245;K;31/08/2020;1074
1246;L;31/08/2020;453
1247;M;31/08/2020;477
1248;N;31/08/2020;226
1249;O;31/08/2020;411
1250;A;01/09/2020;1080
1251;B;01/09/2020;600
1252;C;01/09/2020;545
1253;D;01/09/2020;315
1254;E;01/09/2020;403
1255;F;01/09/2020;335
1256;G;01/09/2020;833
1257;H;01/09/2020;361
1258;I;01/09/2020;544
1259;J;01/09/2020;1132
1260;K;01/09/2020;1430
1261;L;01/09/2020;158
1262;M;01/09/2020;569
1263;N;01/09/2020;281
1264;O;01/09/2020;201
1265;A;02/09/2020;934
1266;B;02/09/2020;502
1267;C;02/09/2020;563
1268;D;02/09/2020;339
1269;E;02/09/2020;436
1270;F;02/09/2020;354
1271;G;02/09/2020;717
1272;H;02/09/2020;325
1273;I;02/09/2020;363
1274;J;02/09/2020;1252
1275;K;02/09/2020;1960
1276;L;02/09/2020;14
1277;M;02/09/2020;531
1278;N;02/09/2020;290
1279;O;02/09/2020;20
1280;A;03/09/2020;823
1281;B;03/09/2020;569
1282;C;03/09/2020;509
1283;D;03/09/2020;339
1284;E;03/09/2020;345
1285;F;03/09/2020;339
1286;G;03/09/2020;544
1287;H;03/09/2020;269
1288;I;03/09/2020;369
1289;J;03/09/2020;1155
1290;K;03/09/2020;1288
1291;L;03/09/2020;2570
1292;M;03/09/2020;421
1293;N;03/09/2020;260
1294;O;03/09/2020;20
1295;A;04/09/2020;812
1296;B;04/09/2020;458
1297;C;04/09/2020;489
1298;D;04/09/2020;267
1299;E;04/09/2020;329
1300;F;04/09/2020;302
1301;G;04/09/2020;759
1302;H;04/09/2020;306
1303;I;04/09/2020;296
1304;J;04/09/2020;1027
1305;K;04/09/2020;1188
1306;L;04/09/2020;63
1307;M;04/09/2020;497
1308;N;04/09/2020;311
1309;O;04/09/2020;9
1310;D;07/09/2020;12
1311;F;07/09/2020;266
1312;I;07/09/2020;9
1313;L;07/09/2020;63
1314;M;07/09/2020;1
1315;N;07/09/2020;1
1316;A;08/09/2020;895
1317;B;08/09/2020;539
1318;C;08/09/2020;221
1319;D;08/09/2020;291
1320;E;08/09/2020;308
1321;F;08/09/2020;1
1322;G;08/09/2020;751
1323;H;08/09/2020;337
1324;I;08/09/2020;198
1325;J;08/09/2020;930
1326;K;08/09/2020;1227
1327;L;08/09/2020;111
1328;M;08/09/2020;430
1329;N;08/09/2020;233
1330;O;08/09/2020;14
1331;A;09/09/2020;862
1332;B;09/09/2020;544
1333;C;09/09/2020;370
1334;D;09/09/2020;388
1335;E;09/09/2020;342
1336;F;09/09/2020;283
1337;G;09/09/2020;830
1338;H;09/09/2020;360
1339;I;09/09/2020;469
1340;J;09/09/2020;1304
1341;K;09/09/2020;1870
1342;L;09/09/2020;1373
1343;M;09/09/2020;403
1344;N;09/09/2020;302
1345;O;09/09/2020;4
1346;A;10/09/2020;722
1347;B;10/09/2020;508
1348;C;10/09/2020;466
1349;D;10/09/2020;388
1350;E;10/09/2020;362
1351;F;10/09/2020;210
1352;G;10/09/2020;734
1353;H;10/09/2020;343
1354;I;10/09/2020;282
1355;J;10/09/2020;1156
1356;K;10/09/2020;1132
1357;M;10/09/2020;425
1358;N;10/09/2020;324
1359;O;10/09/2020;2
1360;A;11/09/2020;912
1361;B;11/09/2020;552
1362;C;11/09/2020;472
1363;D;11/09/2020;331
1364;E;11/09/2020;343
1365;F;11/09/2020;253
1366;G;11/09/2020;776
1367;H;11/09/2020;314
1368;I;11/09/2020;487
1369;J;11/09/2020;1302
1370;K;11/09/2020;1449
1371;M;11/09/2020;476
1372;N;11/09/2020;225
1373;A;14/09/2020;814
1374;B;14/09/2020;534
1375;C;14/09/2020;553
1376;D;14/09/2020;330
1377;E;14/09/2020;369
1378;F;14/09/2020;255
1379;G;14/09/2020;883
1380;H;14/09/2020;364
1381;I;14/09/2020;360
1382;J;14/09/2020;1004
1383;K;14/09/2020;1388
1384;L;14/09/2020;900
1385;M;14/09/2020;657
1386;N;14/09/2020;240
1387;A;15/09/2020;885
1388;B;15/09/2020;561
1389;C;15/09/2020;612
1390;D;15/09/2020;270
1391;E;15/09/2020;373
1392;F;15/09/2020;208
1393;G;15/09/2020;787
1394;H;15/09/2020;358
1395;I;15/09/2020;490
1396;J;15/09/2020;1198
1397;K;15/09/2020;1668
1398;L;15/09/2020;260
1399;M;15/09/2020;419
1400;N;15/09/2020;225
1401;A;16/09/2020;849
1402;B;16/09/2020;570
1403;C;16/09/2020;395
1404;D;16/09/2020;342
1405;E;16/09/2020;356
1406;F;16/09/2020;291
1407;G;16/09/2020;852
1408;H;16/09/2020;386
1409;I;16/09/2020;384
1410;J;16/09/2020;1277
1411;K;16/09/2020;1195
1412;L;16/09/2020;5
1413;M;16/09/2020;428
1414;N;16/09/2020;249
1415;A;17/09/2020;775
1416;B;17/09/2020;481
1417;C;17/09/2020;523
1418;D;17/09/2020;266
1419;E;17/09/2020;395
1420;F;17/09/2020;374
1421;G;17/09/2020;779
1422;H;17/09/2020;322
1423;I;17/09/2020;504
1424;J;17/09/2020;1386
1425;K;17/09/2020;1378
1426;M;17/09/2020;429
1427;N;17/09/2020;334
1428;A;18/09/2020;774
1429;B;18/09/2020;577
1430;C;18/09/2020;702
1431;D;18/09/2020;307
1432;E;18/09/2020;347
1433;F;18/09/2020;242
1434;G;18/09/2020;730
1435;H;18/09/2020;341
1436;I;18/09/2020;469
1437;J;18/09/2020;1146
1438;K;18/09/2020;1327
1439;L;18/09/2020;108
1440;M;18/09/2020;418
1441;N;18/09/2020;255
1442;A;21/09/2020;738
1443;B;21/09/2020;527
1444;C;21/09/2020;564
1445;D;21/09/2020;290
1446;E;21/09/2020;296
1447;F;21/09/2020;229
1448;G;21/09/2020;728
1449;H;21/09/2020;317
1450;I;21/09/2020;375
1451;J;21/09/2020;1124
1452;K;21/09/2020;1476
1453;L;21/09/2020;219
1454;M;21/09/2020;528
1455;N;21/09/2020;273
1456;A;22/09/2020;832
1457;B;22/09/2020;549
1458;C;22/09/2020;429
1459;D;22/09/2020;302
1460;E;22/09/2020;365
1461;F;22/09/2020;257
1462;G;22/09/2020;842
1463;H;22/09/2020;359
1464;I;22/09/2020;493
1465;J;22/09/2020;1337
1466;K;22/09/2020;1535
1467;L;22/09/2020;17
1468;M;22/09/2020;527
1469;N;22/09/2020;258
1470;A;23/09/2020;776
1471;B;23/09/2020;531
1472;C;23/09/2020;402
1473;D;23/09/2020;411
1474;E;23/09/2020;383
1475;F;23/09/2020;273
1476;G;23/09/2020;763
1477;H;23/09/2020;456
1478;I;23/09/2020;515
1479;J;23/09/2020;1585
1480;K;23/09/2020;1326
1481;M;23/09/2020;507
1482;N;23/09/2020;324
1483;A;24/09/2020;790
1484;B;24/09/2020;569
1485;C;24/09/2020;474
1486;D;24/09/2020;376
1487;E;24/09/2020;360
1488;F;24/09/2020;339
1489;G;24/09/2020;678
1490;H;24/09/2020;367
1491;I;24/09/2020;427
1492;J;24/09/2020;1487
1493;K;24/09/2020;1205
1494;L;24/09/2020;192
1495;M;24/09/2020;403
1496;N;24/09/2020;320
1497;A;25/09/2020;608
1498;B;25/09/2020;524
1499;C;25/09/2020;613
1500;D;25/09/2020;297
1501;E;25/09/2020;266
1502;F;25/09/2020;248
1503;G;25/09/2020;679
1504;H;25/09/2020;344
1505;I;25/09/2020;450
1506;J;25/09/2020;1606
1507;K;25/09/2020;1183
1508;L;25/09/2020;6
1509;M;25/09/2020;364
1510;N;25/09/2020;312
1511;A;28/09/2020;643
1512;B;28/09/2020;543
1513;C;28/09/2020;643
1514;D;28/09/2020;242
1515;E;28/09/2020;257
1516;F;28/09/2020;224
1517;G;28/09/2020;692
1518;H;28/09/2020;305
1519;I;28/09/2020;413
1520;J;28/09/2020;1640
1521;K;28/09/2020;1231
1522;L;28/09/2020;15
1523;M;28/09/2020;449
1524;N;28/09/2020;405
1525;A;29/09/2020;603
1526;B;29/09/2020;480
1527;C;29/09/2020;613
1528;D;29/09/2020;292
1529;E;29/09/2020;274
1530;F;29/09/2020;301
1531;G;29/09/2020;649
1532;H;29/09/2020;290
1533;I;29/09/2020;493
1534;J;29/09/2020;2125
1535;K;29/09/2020;1418
1536;L;29/09/2020;468
1537;M;29/09/2020;425
1538;N;29/09/2020;353
1539;A;30/09/2020;698
1540;B;30/09/2020;536
1541;C;30/09/2020;703
1542;D;30/09/2020;326
1543;E;30/09/2020;337
1544;F;30/09/2020;366
1545;G;30/09/2020;683
1546;H;30/09/2020;335
1547;I;30/09/2020;672
1548;J;30/09/2020;1537
1549;K;30/09/2020;1111
1550;M;30/09/2020;430
1551;N;30/09/2020;386
1552;A;01/10/2020;652
1553;B;01/10/2020;536
1554;C;01/10/2020;391
1555;D;01/10/2020;316
1556;E;01/10/2020;323
1557;F;01/10/2020;416
1558;G;01/10/2020;698
1559;H;01/10/2020;335
1560;I;01/10/2020;452
1561;J;01/10/2020;1585
1562;K;01/10/2020;1625
1563;L;01/10/2020;51
1564;M;01/10/2020;399
1565;N;01/10/2020;346
1566;A;02/10/2020;471
1567;B;02/10/2020;376
1568;C;02/10/2020;968
1569;D;02/10/2020;302
1570;E;02/10/2020;305
1571;F;02/10/2020;315
1572;G;02/10/2020;693
1573;H;02/10/2020;304
1574;I;02/10/2020;781
1575;J;02/10/2020;2099
1576;K;02/10/2020;1969
1577;L;02/10/2020;158
1578;M;02/10/2020;392
1579;N;02/10/2020;308
1580;A;03/10/2020;3
1581;B;03/10/2020;1
1582;A;05/10/2020;508
1583;B;05/10/2020;547
1584;C;05/10/2020;1075
1585;D;05/10/2020;376
1586;E;05/10/2020;335
1587;F;05/10/2020;279
1588;G;05/10/2020;741
1589;H;05/10/2020;333
1590;I;05/10/2020;492
1591;J;05/10/2020;1725
1592;K;05/10/2020;1370
1593;L;05/10/2020;2250
1594;M;05/10/2020;373
1595;N;05/10/2020;314
1596;A;06/10/2020;852
1597;B;06/10/2020;604
1598;C;06/10/2020;849
1599;D;06/10/2020;336
1600;E;06/10/2020;403
1601;F;06/10/2020;180
1602;G;06/10/2020;902
1603;H;06/10/2020;754
1604;I;06/10/2020;574
1605;J;06/10/2020;1958
1606;K;06/10/2020;1165
1607;M;06/10/2020;454
1608;N;06/10/2020;324
1609;A;07/10/2020;649
1610;B;07/10/2020;542
1611;C;07/10/2020;1016
1612;D;07/10/2020;360
1613;E;07/10/2020;366
1614;F;07/10/2020;214
1615;G;07/10/2020;835
1616;H;07/10/2020;402
1617;I;07/10/2020;788
1618;J;07/10/2020;2504
1619;K;07/10/2020;1157
1620;L;07/10/2020;106
1621;M;07/10/2020;559
1622;N;07/10/2020;403
1623;A;08/10/2020;745
1624;B;08/10/2020;602
1625;C;08/10/2020;753
1626;D;08/10/2020;351
1627;E;08/10/2020;431
1628;F;08/10/2020;149
1629;G;08/10/2020;811
1630;H;08/10/2020;457
1631;I;08/10/2020;801
1632;J;08/10/2020;2056
1633;K;08/10/2020;1151
1634;L;08/10/2020;1440
1635;M;08/10/2020;425
1636;N;08/10/2020;354
1637;A;09/10/2020;591
1638;B;09/10/2020;511
1639;C;09/10/2020;958
1640;D;09/10/2020;278
1641;E;09/10/2020;352
1642;F;09/10/2020;290
1643;G;09/10/2020;725
1644;H;09/10/2020;330
1645;I;09/10/2020;512
1646;J;09/10/2020;1756
1647;K;09/10/2020;1060
1648;M;09/10/2020;461
1649;N;09/10/2020;346
1650;D;12/10/2020;33
1651;F;12/10/2020;242
1652;I;12/10/2020;18
1653;J;12/10/2020;1
1654;N;12/10/2020;3
1655;A;13/10/2020;725
1656;B;13/10/2020;621
1657;C;13/10/2020;785
1658;D;13/10/2020;298
1659;E;13/10/2020;315
1660;F;13/10/2020;6
1661;G;13/10/2020;753
1662;H;13/10/2020;343
1663;I;13/10/2020;622
1664;J;13/10/2020;1516
1665;K;13/10/2020;1005
1666;M;13/10/2020;430
1667;N;13/10/2020;343
1668;A;14/10/2020;655
1669;B;14/10/2020;530
1670;C;14/10/2020;816
1671;D;14/10/2020;374
1672;E;14/10/2020;378
1673;F;14/10/2020;235
1674;G;14/10/2020;853
1675;H;14/10/2020;357
1676;I;14/10/2020;553
1677;J;14/10/2020;1561
1678;K;14/10/2020;1496
1679;L;14/10/2020;1151
1680;M;14/10/2020;485
1681;N;14/10/2020;430
1682;A;15/10/2020;722
1683;B;15/10/2020;544
1684;C;15/10/2020;630
1685;D;15/10/2020;285
1686;E;15/10/2020;361
1687;F;15/10/2020;203
1688;G;15/10/2020;849
1689;H;15/10/2020;394
1690;I;15/10/2020;471
1691;J;15/10/2020;1589
1692;K;15/10/2020;1099
1693;L;15/10/2020;12
1694;M;15/10/2020;370
1695;N;15/10/2020;357
1696;A;16/10/2020;673
1697;B;16/10/2020;580
1698;C;16/10/2020;757
1699;D;16/10/2020;304
1700;E;16/10/2020;332
1701;F;16/10/2020;461
1702;G;16/10/2020;813
1703;H;16/10/2020;421
1704;I;16/10/2020;485
1705;J;16/10/2020;1699
1706;K;16/10/2020;1109
1707;L;16/10/2020;5
1708;M;16/10/2020;386
1709;N;16/10/2020;383
1710;A;19/10/2020;622
1711;B;19/10/2020;573
1712;C;19/10/2020;623
1713;D;19/10/2020;334
1714;E;19/10/2020;362
1715;F;19/10/2020;406
1716;G;19/10/2020;872
1717;H;19/10/2020;365
1718;I;19/10/2020;525
1719;J;19/10/2020;1572
1720;K;19/10/2020;8974
1721;L;19/10/2020;301
1722;M;19/10/2020;383
1723;N;19/10/2020;320
1724;A;20/10/2020;726
1725;B;20/10/2020;631
1726;C;20/10/2020;566
1727;D;20/10/2020;345
1728;E;20/10/2020;401
1729;F;20/10/2020;285
1730;G;20/10/2020;797
1731;H;20/10/2020;389
1732;I;20/10/2020;540
1733;J;20/10/2020;1356
1734;K;20/10/2020;1457
1735;L;20/10/2020;25
1736;M;20/10/2020;458
1737;N;20/10/2020;376
1738;A;21/10/2020;663
1739;B;21/10/2020;595
1740;C;21/10/2020;704
1741;D;21/10/2020;327
1742;E;21/10/2020;414
1743;F;21/10/2020;273
1744;G;21/10/2020;819
1745;H;21/10/2020;348
1746;I;21/10/2020;599
1747;J;21/10/2020;1608
1748;K;21/10/2020;1090
1749;L;21/10/2020;1
1750;M;21/10/2020;645
1751;N;21/10/2020;382
1752;A;22/10/2020;650
1753;B;22/10/2020;581
1754;C;22/10/2020;604
1755;D;22/10/2020;324
1756;E;22/10/2020;456
1757;F;22/10/2020;407
1758;G;22/10/2020;810
1759;H;22/10/2020;396
1760;I;22/10/2020;652
1761;J;22/10/2020;1718
1762;K;22/10/2020;1203
1763;L;22/10/2020;17
1764;M;22/10/2020;554
1765;N;22/10/2020;277
1766;A;23/10/2020;575
1767;B;23/10/2020;436
1768;C;23/10/2020;635
1769;D;23/10/2020;306
1770;E;23/10/2020;379
1771;F;23/10/2020;245
1772;G;23/10/2020;744
1773;H;23/10/2020;342
1774;I;23/10/2020;534
1775;J;23/10/2020;1581
1776;K;23/10/2020;1041
1777;M;23/10/2020;532
1778;N;23/10/2020;356
1779;A;26/10/2020;612
1780;B;26/10/2020;570
1781;C;26/10/2020;630
1782;D;26/10/2020;329
1783;E;26/10/2020;415
1784;F;26/10/2020;236
1785;G;26/10/2020;834
1786;H;26/10/2020;345
1787;I;26/10/2020;390
1788;J;26/10/2020;1367
1789;K;26/10/2020;1105
1790;L;26/10/2020;169
1791;M;26/10/2020;523
1792;N;26/10/2020;322
1793;A;27/10/2020;320
1794;B;27/10/2020;332
1795;C;27/10/2020;606
1796;D;27/10/2020;358
1797;E;27/10/2020;509
1798;F;27/10/2020;274
1799;G;27/10/2020;818
1800;H;27/10/2020;363
1801;I;27/10/2020;597
1802;J;27/10/2020;1497
1803;K;27/10/2020;1255
1804;M;27/10/2020;567
1805;N;27/10/2020;352
1806;A;28/10/2020;609
1807;B;28/10/2020;684
1808;C;28/10/2020;567
1809;D;28/10/2020;368
1810;E;28/10/2020;465
1811;F;28/10/2020;220
1812;G;28/10/2020;830
1813;H;28/10/2020;370
1814;I;28/10/2020;521
1815;J;28/10/2020;1496
1816;K;28/10/2020;999
1817;L;28/10/2020;4
1818;M;28/10/2020;582
1819;N;28/10/2020;290
1820;A;29/10/2020;729
1821;B;29/10/2020;547
1822;C;29/10/2020;563
1823;D;29/10/2020;297
1824;E;29/10/2020;393
1825;F;29/10/2020;320
1826;G;29/10/2020;713
1827;H;29/10/2020;357
1828;I;29/10/2020;484
1829;J;29/10/2020;1609
1830;K;29/10/2020;1164
1831;L;29/10/2020;467
1832;M;29/10/2020;509
1833;N;29/10/2020;314
1834;A;30/10/2020;507
1835;B;30/10/2020;447
1836;C;30/10/2020;560
1837;D;30/10/2020;257
1838;E;30/10/2020;294
1839;F;30/10/2020;286
1840;G;30/10/2020;617
1841;H;30/10/2020;311
1842;I;30/10/2020;571
1843;J;30/10/2020;1253
1844;K;30/10/2020;1151
1845;L;30/10/2020;204
1846;M;30/10/2020;513
1847;N;30/10/2020;255
1848;D;02/11/2020;12
1849;F;02/11/2020;318
1850;L;02/11/2020;208
1851;M;02/11/2020;1
1852;N;02/11/2020;2
1853;A;03/11/2020;684
1854;B;03/11/2020;575
1855;C;03/11/2020;575
1856;D;03/11/2020;331
1857;E;03/11/2020;393
1858;F;03/11/2020;16
1859;G;03/11/2020;694
1860;H;03/11/2020;366
1861;I;03/11/2020;459
1862;J;03/11/2020;1014
1863;K;03/11/2020;1878
1864;L;03/11/2020;15
1865;M;03/11/2020;413
1866;N;03/11/2020;304
1867;A;04/11/2020;612
1868;B;04/11/2020;517
1869;C;04/11/2020;468
1870;D;04/11/2020;395
1871;E;04/11/2020;455
1872;F;04/11/2020;281
1873;G;04/11/2020;755
1874;H;04/11/2020;378
1875;I;04/11/2020;546
1876;J;04/11/2020;1314
1877;K;04/11/2020;2488
1878;L;04/11/2020;2509
1879;M;04/11/2020;641
1880;N;04/11/2020;332
1881;A;05/11/2020;694
1882;B;05/11/2020;590
1883;C;05/11/2020;421
1884;D;05/11/2020;375
1885;E;05/11/2020;469
1886;F;05/11/2020;323
1887;G;05/11/2020;718
1888;H;05/11/2020;394
1889;I;05/11/2020;545
1890;J;05/11/2020;1254
1891;K;05/11/2020;1061
1892;L;05/11/2020;68
1893;M;05/11/2020;693
1894;N;05/11/2020;335
1895;A;06/11/2020;592
1896;B;06/11/2020;598
1897;C;06/11/2020;523
1898;D;06/11/2020;226
1899;E;06/11/2020;454
1900;F;06/11/2020;238
1901;G;06/11/2020;760
1902;H;06/11/2020;385
1903;I;06/11/2020;436
1904;J;06/11/2020;1282
1905;K;06/11/2020;1281
1906;L;06/11/2020;68
1907;M;06/11/2020;653
1908;N;06/11/2020;247
1909;A;09/11/2020;664
1910;B;09/11/2020;622
1911;C;09/11/2020;502
1912;D;09/11/2020;413
1913;E;09/11/2020;438
1914;F;09/11/2020;259
1915;G;09/11/2020;764
1916;H;09/11/2020;408
1917;I;09/11/2020;595
1918;J;09/11/2020;1801
1919;K;09/11/2020;1266
1920;L;09/11/2020;1293
1921;M;09/11/2020;760
1922;N;09/11/2020;468
1923;A;10/11/2020;559
1924;B;10/11/2020;637
1925;C;10/11/2020;599
1926;D;10/11/2020;421
1927;E;10/11/2020;521
1928;F;10/11/2020;274
1929;G;10/11/2020;743
1930;H;10/11/2020;394
1931;I;10/11/2020;571
1932;J;10/11/2020;1462
1933;K;10/11/2020;1603
1934;L;10/11/2020;236
1935;M;10/11/2020;785
1936;N;10/11/2020;351
1937;A;11/11/2020;546
1938;B;11/11/2020;685
1939;C;11/11/2020;419
1940;D;11/11/2020;501
1941;E;11/11/2020;486
1942;F;11/11/2020;277
1943;G;11/11/2020;715
1944;H;11/11/2020;398
1945;I;11/11/2020;466
1946;J;11/11/2020;1109
1947;K;11/11/2020;1284
1948;M;11/11/2020;562
1949;N;11/11/2020;238
1950;A;12/11/2020;711
1951;B;12/11/2020;776
1952;C;12/11/2020;589
1953;D;12/11/2020;373
1954;E;12/11/2020;524
1955;F;12/11/2020;319
1956;G;12/11/2020;792
1957;H;12/11/2020;419
1958;I;12/11/2020;501
1959;J;12/11/2020;1251
1960;K;12/11/2020;1152
1961;M;12/11/2020;593
1962;N;12/11/2020;328
1963;A;13/11/2020;457
1964;B;13/11/2020;565
1965;C;13/11/2020;432
1966;D;13/11/2020;357
1967;E;13/11/2020;457
1968;F;13/11/2020;270
1969;G;13/11/2020;751
1970;H;13/11/2020;383
1971;I;13/11/2020;632
1972;J;13/11/2020;1517
1973;K;13/11/2020;1214
1974;M;13/11/2020;835
1975;N;13/11/2020;408
1976;A;16/11/2020;532
1977;B;16/11/2020;585
1978;C;16/11/2020;638
1979;D;16/11/2020;394
1980;E;16/11/2020;441
1981;F;16/11/2020;333
1982;G;16/11/2020;724
1983;H;16/11/2020;389
1984;I;16/11/2020;663
1985;J;16/11/2020;1343
1986;K;16/11/2020;1079
1987;L;16/11/2020;1174
1988;M;16/11/2020;601
1989;N;16/11/2020;328
1990;A;17/11/2020;553
1991;B;17/11/2020;674
1992;C;17/11/2020;605
1993;D;17/11/2020;363
1994;E;17/11/2020;607
1995;F;17/11/2020;331
1996;G;17/11/2020;796
1997;H;17/11/2020;429
1998;I;17/11/2020;632
1999;J;17/11/2020;1486
2000;K;17/11/2020;1416
2001;L;17/11/2020;6
2002;M;17/11/2020;660
2003;N;17/11/2020;400
2004;A;18/11/2020;523
2005;B;18/11/2020;779
2006;C;18/11/2020;451
2007;D;18/11/2020;367
2008;E;18/11/2020;602
2009;F;18/11/2020;268
2010;G;18/11/2020;814
2011;H;18/11/2020;392
2012;I;18/11/2020;606
2013;J;18/11/2020;1297
2014;K;18/11/2020;1151
2015;L;18/11/2020;108
2016;M;18/11/2020;555
2017;N;18/11/2020;367
2018;A;19/11/2020;510
2019;B;19/11/2020;646
2020;C;19/11/2020;779
2021;D;19/11/2020;332
2022;E;19/11/2020;712
2023;F;19/11/2020;295
2024;G;19/11/2020;788
2025;H;19/11/2020;378
2026;I;19/11/2020;589
2027;J;19/11/2020;1226
2028;K;19/11/2020;1271
2029;L;19/11/2020;218
2030;M;19/11/2020;592
2031;N;19/11/2020;315
2032;A;20/11/2020;453
2033;B;20/11/2020;564
